WANT,NEED,URGE,DOING,HOW,GOOD,BETTER,WORSE,SUCCEED,PAST,THOUGHT,REMIND,GRAB,,,,
3,2,2,3,2,2,2,2,2,1,3,3,2,,,Intensity,"Over the last week, how often did you…"
1,1,1,1,1,1,1,1,1,1,1,1,1,,WANT,…feel you wanted to do it?,
1,1,1,1,1,1,1,1,1,1,1,1,1,,NEED,…feel you needed to do it?,
1,1,1,1,1,1,1,1,1,1,1,1,1,,URGE,…have a strong urge to do it?,
2,1,3,2,2,2,2,4,3,1,1,1,1,,,Self-efficacy Imagery,"Over the last week, how often did you…"
3,3,3,4,4,4,4,4,4,4,4,2,2,,DOING,…imagine yourself doing it?,
6,1,6,1,1,1,1,1,1,1,1,1,1,,HOW,...imagine how you would do it?,
1,1,1,1,1,1,1,1,1,4,3,3,2,,PAST,...picture times you did something like this in the past?,
1,1,1,1,1,1,1,1,1,2,1,1,1,,SUCCEED,...imagine succeeding at it?,
8,7,7,7,6,7,7,6,6,6,6,6,6,,,Incentives Imagery,
1,1,1,1,1,1,1,1,1,1,2,1,2,,GOOD,...imagine how good it would be to do it?,
3,2,1,1,1,1,1,1,1,1,1,1,1,,BETTER,...imagine how much better you’d feel if you did it?,
1,1,1,1,1,1,1,1,1,1,1,1,1,,WORSE,...imagine how much worse you’d feel if you didn’t do it?,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,Availability,"Over the last week, how often…"
10,10,10,10,10,10,10,10,10,10,10,9,8,,REMIND,...did other things remind you about it?,
1,3,1,2,1,1,1,1,1,1,3,2,1,,GRAB,... did thoughts about it grab your attention?,
1,1,1,1,1,1,1,1,1,1,1,1,1,,THOUGHT,... did thoughts about it come to mind?,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
4,4,2,2,2,3,2,2,2,2,4,3,3,,,,
3,3,3,3,3,6,8,8,6,5,4,3,3,,,,
1,1,1,6,6,6,5,5,6,6,1,1,1,,,,
2,1,1,1,2,2,3,1,3,1,1,1,1,,,,
5,4,4,5,5,5,5,5,7,7,3,5,5,,,,
8,8,8,7,8,9,8,9,9,7,9,9,8,,,,
4,7,5,7,7,8,8,9,6,5,10,10,10,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
3,3,1,1,1,3,3,3,1,1,2,1,1,,,,
3,2,2,2,5,5,2,2,2,2,2,2,2,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
